female,born_germany,parent_nongermany,sportsclub_4_7,music_4_7,urban,anz_osiblings,yob_1998.0,yob_1999.0,yob_2000.0,yob_2001.0,yob_2002.0,yob_2003.0,abi_p,real_p,haupt_p,kindergarten_stats_unknown,parent_nongerman_unknown,education_unknown,anz_osiblings_unknown,ps,treat,sportsclub,sport_hrs,oweight,kommheard,kommgotten,kommused
0,1,0.0,1.0,0.0,1.0,1.0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,1,0,0.43224372841635494,1.0,1.0,10.5,1.0,1.0,1.0,1.0
1,1,0.0,1.0,1.0,1.0,5.0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,1,0,0.8948208898944193,1.0,1.0,3.0,0.0,1.0,1.0,1.0
0,1,0.0,1.0,0.0,1.0,0.0,0,0,0,0,1,0,0.0,1.0,0.0,0,0,0,0,0.4733333333333332,1.0,1.0,2.0,0.0,1.0,0.0,0.0
1,1,0.0,0.0,1.0,1.0,0.0,0,0,0,0,1,0,0.0,0.0,0.0,0,0,1,0,0.5367191516546552,1.0,0.0,6.0,0.0,0.0,0.0,0.0
1,1,0.0,1.0,0.0,1.0,0.0,0,0,0,0,1,0,1.0,0.0,0.0,0,1,0,1,0.8501309523809525,1.0,1.0,6.0,0.0,0.0,0.0,0.0
1,1,0.0,1.0,1.0,0.0,2.0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,1,0,0.38404477535484055,1.0,1.0,8.0,0.0,1.0,1.0,1.0
1,1,1.0,1.0,0.0,1.0,0.0,0,0,0,0,1,0,0.0,0.0,0.0,0,0,1,1,0.9269444444444445,1.0,0.0,1.5,0.0,0.0,0.0,0.0
0,1,0.0,1.0,1.0,0.0,0.0,0,0,0,0,1,0,1.0,0.0,0.0,0,0,0,0,0.34536309523809505,1.0,1.0,3.0,0.0,0.0,0.0,0.0
1,1,0.0,1.0,1.0,1.0,0.0,0,0,1,0,0,0,1.0,0.0,0.0,0,0,0,0,0.8371933509049166,1.0,1.0,2.0,0.0,1.0,1.0,0.0
1,1,1.0,1.0,0.0,1.0,0.0,0,0,0,1,0,0,0.0,0.0,0.0,0,0,1,0,0.7051807359307358,1.0,0.0,2.0,0.0,0.0,0.0,0.0
1,1,0.0,1.0,0.0,1.0,0.0,0,0,0,1,0,0,0.0,0.0,0.0,0,0,1,0,0.6337673364383484,1.0,0.0,5.0,0.0,0.0,0.0,0.0
1,1,0.0,0.0,0.0,0.0,1.0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,1,0,0.2794157470875792,1.0,0.0,1.5,0.0,1.0,0.0,0.0
