female,born_germany,parent_nongermany,sportsclub_4_7,music_4_7,urban,anz_osiblings,yob_1998.0,yob_1999.0,yob_2000.0,yob_2001.0,yob_2002.0,yob_2003.0,abi_p,real_p,haupt_p,kindergarten_stats_unknown,parent_nongerman_unknown,education_unknown,anz_osiblings_unknown,female parent_nongermany,female sportsclub_4_7,female music_4_7,female urban,female anz_osiblings,parent_nongermany sportsclub_4_7,parent_nongermany music_4_7,parent_nongermany urban,parent_nongermany anz_osiblings,sportsclub_4_7 music_4_7,sportsclub_4_7 urban,sportsclub_4_7 anz_osiblings,music_4_7 urban,music_4_7 anz_osiblings,urban anz_osiblings,ps,treat,sportsclub,sport_hrs,oweight,kommheard,kommgotten,kommused
1,1,0.0,0.0,1.0,1.0,0.0,0,0,0,0,1,0,0.0,0.0,0.0,0,0,1,0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.6598406987673383,1.0,1.0,9.5,0.0,0.0,0.0,0.0
1,1,1.0,0.0,1.0,1.0,2.0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,1,0,1.0,0.0,1.0,1.0,2.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,2.0,2.0,0.7379012726628836,1.0,0.0,7.0,0.0,0.0,0.0,0.0
1,1,1.0,1.0,0.0,0.0,0.0,0,0,0,0,1,0,0.0,0.0,0.0,0,0,1,0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2379832824582754,1.0,0.0,0.5,0.0,1.0,0.0,0.0
0,1,1.0,1.0,1.0,0.0,0.0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.2901901432496474,1.0,0.0,1.0,0.0,0.0,0.0,0.0
1,1,0.0,0.0,1.0,0.0,0.0,0,0,1,0,0,0,1.0,0.0,0.0,0,0,0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3881808564977514,1.0,0.0,2.5,0.0,1.0,0.0,0.0
0,1,0.0,1.0,0.0,1.0,0.0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.6889912313187929,1.0,0.0,5.0,0.0,1.0,1.0,1.0
1,1,0.0,0.0,1.0,1.0,0.0,0,0,0,1,0,0,0.0,0.0,0.0,0,0,1,0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.7177460146650279,1.0,1.0,4.0,0.0,1.0,1.0,0.0
1,1,0.0,0.0,0.0,1.0,1.0,1,0,0,0,0,0,0.0,0.0,0.0,0,0,1,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.7158673176553656,1.0,0.0,2.0,0.0,1.0,1.0,0.0
0,1,0.0,1.0,0.0,0.0,0.0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2924043563562449,1.0,1.0,5.0,0.0,1.0,1.0,1.0
0,1,0.0,1.0,0.0,1.0,2.0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,2.0,0.7010443273501207,1.0,0.0,8.0,0.0,0.0,0.0,0.0
1,1,0.0,1.0,0.0,0.0,0.0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,1,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36609267026535014,1.0,0.0,0.0,0.0,1.0,0.0,0.0
0,1,0.0,1.0,0.0,1.0,3.0,0,0,0,0,1,0,0.0,0.0,0.0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,3.0,0.5890410533803052,1.0,1.0,10.0,0.0,1.0,0.0,0.0
0,1,0.0,0.0,0.0,1.0,1.0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6629808985317522,1.0,1.0,5.0,0.0,1.0,1.0,1.0
1,1,0.0,0.0,0.0,1.0,3.0,0,0,0,0,1,0,0.0,0.0,0.0,0,0,1,0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.6177854107502068,1.0,0.0,1.0,1.0,0.0,0.0,0.0
1,1,1.0,0.0,1.0,1.0,2.0,0,0,0,1,0,0,0.0,0.0,0.0,0,0,1,0,1.0,0.0,1.0,1.0,2.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,2.0,2.0,0.7373749691933921,1.0,0.0,6.0,1.0,1.0,0.0,0.0
1,1,0.0,1.0,1.0,1.0,0.0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,1,0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.6505599964750786,1.0,1.0,12.0,0.0,0.0,0.0,0.0
0,1,0.0,1.0,0.0,1.0,1.0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.6950512010538549,1.0,1.0,10.5,1.0,1.0,1.0,1.0
1,1,0.0,1.0,1.0,1.0,5.0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,1,0,0.0,1.0,1.0,1.0,5.0,0.0,0.0,0.0,0.0,1.0,1.0,5.0,1.0,5.0,5.0,0.7104444226382969,1.0,1.0,3.0,0.0,1.0,1.0,1.0
0,1,0.0,1.0,0.0,1.0,0.0,0,0,0,0,1,0,0.0,1.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.6095899606516407,1.0,1.0,2.0,0.0,1.0,0.0,0.0
1,1,0.0,0.0,1.0,1.0,0.0,0,0,0,0,1,0,0.0,0.0,0.0,0,0,1,0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.6598406987673383,1.0,0.0,6.0,0.0,0.0,0.0,0.0
1,0,0.0,0.0,1.0,1.0,0.0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,1,1,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.729614738466351,1.0,0.0,7.0,0.0,0.0,0.0,0.0
1,1,0.0,1.0,0.0,1.0,0.0,0,0,0,0,1,0,1.0,0.0,0.0,0,1,0,1,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.634725560045062,1.0,1.0,6.0,0.0,0.0,0.0,0.0
1,1,0.0,1.0,1.0,0.0,2.0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,1,0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,2.0,0.0,0.3518089974137692,1.0,1.0,8.0,0.0,1.0,1.0,1.0
1,1,1.0,1.0,0.0,1.0,0.0,0,0,0,0,1,0,0.0,0.0,0.0,0,0,1,1,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.6343873685304855,1.0,0.0,1.5,0.0,0.0,0.0,0.0
0,1,0.0,1.0,1.0,0.0,0.0,0,0,0,0,1,0,1.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.22715490663914237,1.0,1.0,3.0,0.0,0.0,0.0,0.0
1,1,0.0,1.0,1.0,1.0,0.0,0,0,1,0,0,0,1.0,0.0,0.0,0,0,0,0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.6555402724433701,1.0,1.0,2.0,0.0,1.0,1.0,0.0
1,1,1.0,1.0,0.0,1.0,0.0,0,0,0,1,0,0,0.0,0.0,0.0,0,0,1,0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.6868644301764154,1.0,0.0,2.0,0.0,0.0,0.0,0.0
1,1,0.0,1.0,0.0,1.0,0.0,0,0,0,1,0,0,0.0,0.0,0.0,0,0,1,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.6495948861029396,1.0,0.0,5.0,0.0,0.0,0.0,0.0
1,1,0.0,0.0,1.0,1.0,4.0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,1,0,0.0,0.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,4.0,0.7439482026685439,1.0,1.0,9.0,1.0,1.0,1.0,0.0
1,1,0.0,0.0,0.0,0.0,1.0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,1,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3783990712195926,1.0,0.0,1.5,0.0,1.0,0.0,0.0
1,1,1.0,0.0,1.0,0.0,0.0,0,0,0,1,0,0,0.0,0.0,0.0,0,0,1,0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33722941049448957,1.0,1.0,5.0,0.0,1.0,0.0,0.0
0,1,0.0,0.0,1.0,1.0,1.0,0,0,0,1,0,0,0.0,0.0,0.0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.6927374631647679,1.0,0.0,1.0,0.0,1.0,0.0,0.0
1,1,1.0,0.0,0.0,0.0,3.0,0,0,0,1,0,0,0.0,0.0,0.0,1,0,1,0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3321346717095204,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1,0.0,1.0,1.0,0.0,0.0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.27428616932278194,1.0,1.0,4.5,0.0,1.0,1.0,1.0
