Outcome Variable,ATE,AI Standard Error,test_statistics
oweight,0.005670311867152693,0.00958239557025565,0.5917426206817941
sportsclub,-0.017415957877683273,0.013843542185387452,-1.2580564745969918
sport_hrs,-0.0001012555690562981,0.1262798769160031,-0.0008018345561395322
kommheard,0.37403807209396517,0.010533518734382461,35.50931854073296
kommgotten,0.22539489671931956,0.008959956940868648,25.155801328825138
kommused,0.13264479546375052,0.0075773200981535,17.505502439586053
