Outcome Variable,ATE,AI Standard Error
oweight,0.03747906197654941,0.009246105922386713
sportsclub,0.04376046901172529,0.014117190552642156
sport_hrs,0.15054438860971525,0.11439695086190384
kommheard,0.3900753768844221,0.010509744746664747
kommgotten,0.24057788944723618,0.00874777862139539
kommused,0.14698492462311558,0.007246746345027805
