Outcome Variable,ATE,AI Standard Error,test_statistics
oweight,-0.02705390889198329,0.01004325775382128,-2.693738382019496
sportsclub,0.00517207081758504,0.01378493580033651,0.3751973090406981
sport_hrs,0.152178237517406,0.11476658460771794,1.3259803629912341
kommheard,0.39407201113984486,0.010045185287574296,39.22993950418261
kommgotten,0.2359259996021484,0.008619925712128293,27.36984139784395
kommused,0.1434255022876467,0.00720713832768995,19.900478631942367
