Outcome Variable,ATE,AI Standard Error
oweight,-0.017821385662795355,0.00992107580743771
sportsclub,0.017020424509411294,0.013733805926708557
sport_hrs,0.20314377252703245,0.11160620678558587
kommheard,0.3698438125750901,0.010515571643553328
kommgotten,0.2356828193832599,0.008680024264194881
kommused,0.14257108530236284,0.00724625470529618
