Outcome Variable,ATE,AI Standard Error
oweight,-0.08466257668711656,0.01093587175263392
sportsclub,0.039468302658486706,0.014138339871924695
sport_hrs,0.5660531697341513,0.12828156056373927
kommheard,0.3754601226993865,0.010610202016608141
kommgotten,0.2425357873210634,0.008669098820914942
kommused,0.149079754601227,0.00720375181700879
