Outcome Variable,ATE,AI Standard Error
oweight,-0.02705390889198329,0.01004325775382128
sportsclub,0.00517207081758504,0.01378493580033651
sport_hrs,0.152178237517406,0.11476658460771794
kommheard,0.39407201113984486,0.010045185287574296
kommgotten,0.2359259996021484,0.008619925712128293
kommused,0.1434255022876467,0.00720713832768995
